district,capture_rate_total
BKN01,44.1
BKN01,48.3
BKN01,50
BKN01,48.2
BKN01,50.7
BKN01,48.6
BKN01,48.2
BKN01,47.8
BKN01,47
BKN01,50.2
BKN01,50.7
BKN01,51.9
BKN02,41.2
BKN02,39.4
BKN02,41.2
BKN02,40.8
BKN02,42.5
BKN02,39.1
BKN02,43.2
BKN02,38.4
BKN02,40
BKN02,40.3
BKN02,40.8
BKN02,42.5
BKN03,38.2
BKN03,37.6
BKN03,38.7
BKN03,39.7
BKN03,42.9
BKN03,37.7
BKN03,39.6
BKN03,39
BKN03,36.7
BKN03,40.3
BKN03,41.1
BKN03,42.1
BKN04,48.8
BKN04,47.8
BKN04,51.5
BKN04,50
BKN04,53.2
BKN04,47.3
BKN04,51.4
BKN04,50.6
BKN04,47
BKN04,50.5
BKN04,50.6
BKN04,52.6
BKN05,31.5
BKN05,30.5
BKN05,33.5
BKN05,33.4
BKN05,36.7
BKN05,30.6
BKN05,34.4
BKN05,32.8
BKN05,30.7
BKN05,33.5
BKN05,33.7
BKN05,34.4
BKN08,50.6
BKN08,47.9
BKN08,51.9
BKN08,52.6
BKN08,57.9
BKN08,47.6
BKN08,53.1
BKN08,51.9
BKN08,47.7
BKN08,53.5
BKN08,52.5
BKN08,55.7
BKN09,39.2
BKN09,37
BKN09,37.5
BKN09,36.6
BKN09,37.9
BKN09,36.9
BKN09,38.8
BKN09,36.8
BKN09,38.5
BKN09,38.9
BKN09,38.2
BKN09,39.7
BKN16,26.4
BKN16,26.5
BKN16,31.3
BKN16,28.4
BKN16,29
BKN16,26
BKN16,28.1
BKN16,27.1
BKN16,27.8
BKN16,29.4
BKN16,29.4
BKN16,30
BKN17,40.7
BKN17,38.9
BKN17,40.2
BKN17,39.6
BKN17,43.6
BKN17,38.6
BKN17,42.6
BKN17,39.3
BKN17,39.9
BKN17,42.6
BKN17,41.8
BKN17,43.7
BKS06,57.2
BKS06,52.9
BKS06,57.4
BKS06,55.9
BKS06,57.4
BKS06,53.2
BKS06,58.1
BKS06,54.3
BKS06,55.7
BKS06,55.5
BKS06,55.6
BKS06,57.6
BKS07,57.3
BKS07,53.1
BKS07,53.6
BKS07,52.1
BKS07,56.8
BKS07,52.9
BKS07,58.7
BKS07,52.6
BKS07,54.4
BKS07,58
BKS07,58.4
BKS07,60.3
BKS10,61.3
BKS10,59.9
BKS10,62
BKS10,58.9
BKS10,63.3
BKS10,62.1
BKS10,63.5
BKS10,58.1
BKS10,59.9
BKS10,64.1
BKS10,63.3
BKS10,64.7
BKS11,52.5
BKS11,49.5
BKS11,51.4
BKS11,49.8
BKS11,54.9
BKS11,50.2
BKS11,54.5
BKS11,50
BKS11,51.4
BKS11,55
BKS11,54.3
BKS11,54.6
BKS12,45.3
