zone,district,fiscal_year,month,diversion_rate_total,capture_rate_total,capture_dispersion_ratio
Brooklyn North,BKN01,2019,April,14.7,44.1,3.0000000000000004
Brooklyn North,BKN02,2019,April,20,41.2,2.06
Brooklyn North,BKN03,2019,April,12.2,38.2,3.131147540983607
Brooklyn North,BKN04,2019,April,15.5,48.8,3.148387096774193
Brooklyn North,BKN05,2019,April,10.1,31.5,3.118811881188119
Brooklyn North,BKN08,2019,April,16.4,50.6,3.085365853658537
Brooklyn North,BKN09,2019,April,14,39.2,2.8000000000000003
Brooklyn North,BKN16,2019,April,9.3,26.4,2.8387096774193545
Brooklyn North,BKN17,2019,April,13.4,40.7,3.037313432835821
Brooklyn South,BKS06,2019,April,29,57.2,1.9724137931034484
Brooklyn South,BKS07,2019,April,20.4,57.3,2.808823529411765
Brooklyn South,BKS10,2019,April,23.8,61.3,2.57563025210084
Brooklyn South,BKS11,2019,April,18.4,52.5,2.8532608695652177
Brooklyn South,BKS12,2019,April,14.9,45.3,3.0402684563758386
Brooklyn South,BKS13,2019,April,14.3,45.6,3.1888111888111887
Brooklyn South,BKS14,2019,April,15,45.1,3.006666666666667
Brooklyn South,BKS15,2019,April,18.7,52.9,2.828877005347594
Brooklyn South,BKS18,2019,April,14.7,50.3,3.4217687074829932
Bronx,BX01,2019,April,7.1,23.2,3.267605633802817
Bronx,BX02,2019,April,13.4,45,3.3582089552238803
Bronx,BX03,2019,April,9.8,32.9,3.3571428571428568
Bronx,BX04,2019,April,12.3,40.2,3.2682926829268295
Bronx,BX05,2019,April,11.4,38.3,3.359649122807017
Bronx,BX06,2019,April,14.1,43.2,3.063829787234043
Bronx,BX07,2019,April,14.6,49.1,3.3630136986301373
Bronx,BX08,2019,April,21.2,57.6,2.716981132075472
Bronx,BX09,2019,April,10.1,31.6,3.128712871287129
Bronx,BX10,2019,April,21,55.8,2.657142857142857
Bronx,BX11,2019,April,16.7,44.6,2.670658682634731
Bronx,BX12,2019,April,20.6,52.4,2.5436893203883493
Manhattan,MN01,2019,April,28,54.1,1.9321428571428572
Manhattan,MN02,2019,April,26.7,51.5,1.9288389513108615
Manhattan,MN03,2019,April,14.1,42.7,3.0283687943262416
Manhattan,MN04,2019,April,23.6,45,1.906779661016949
Manhattan,MN05,2019,April,21.1,42,1.990521327014218
Manhattan,MN06,2019,April,24,45.9,1.9124999999999999
Manhattan,MN07,2019,April,27.5,52.6,1.9127272727272728
Manhattan,MN08,2019,April,26.7,52.7,1.9737827715355807
Manhattan,MN09,2019,April,18.5,54.8,2.962162162162162
Manhattan,MN10,2019,April,14.6,48.2,3.301369863013699
Manhattan,MN11,2019,April,11.3,36.9,3.2654867256637163
Manhattan,MN12,2019,April,16.4,51.8,3.158536585365854
Queens East,QE07,2019,April,20.2,56,2.7722772277227725
Queens East,QE08,2019,April,16.5,36.2,2.1939393939393943
Queens East,QE10,2019,April,19,60.8,3.1999999999999997
Queens East,QE11,2019,April,24.2,72.7,3.004132231404959
Queens East,QE12,2019,April,13.9,50.5,3.633093525179856
Queens East,QE13,2019,April,20,58.2,2.91
Queens East,QE14,2019,April,14,37.7,2.692857142857143
Queens West,QW01,2019,April,19.8,60.3,3.0454545454545454
Queens West,QW02,2019,April,21,58.6,2.7904761904761903
Queens West,QW03,2019,April,13.9,42.3,3.043165467625899
Queens West,QW04,2019,April,14.9,45.6,3.0604026845637584
Queens West,QW05,2019,April,23.3,61.3,2.6309012875536477
Queens West,QW06,2019,April,20.4,40.5,1.9852941176470589
Queens West,QW09,2019,April,21.8,54.6,2.5045871559633026
Staten Island,SI01,2019,April,20.2,59.6,2.9504950495049505
Staten Island,SI02,2019,April,19.3,63.4,3.2849740932642484
Staten Island,SI03,2019,April,19.5,65.8,3.3743589743589744
Brooklyn North,BKN01,2019,August,16.6,48.3,2.9096385542168672
Brooklyn North,BKN02,2019,August,19.4,39.4,2.0309278350515463
Brooklyn North,BKN03,2019,August,12.3,37.6,3.056910569105691
Brooklyn North,BKN04,2019,August,15.7,47.8,3.0445859872611463
Brooklyn North,BKN05,2019,August,10,30.5,3.05
Brooklyn North,BKN08,2019,August,15.7,47.9,3.050955414012739
Brooklyn North,BKN09,2019,August,12.7,37,2.9133858267716537
Brooklyn North,BKN16,2019,August,9.7,26.5,2.731958762886598
Brooklyn North,BKN17,2019,August,13.3,38.9,2.924812030075188
Brooklyn South,BKS06,2019,August,26.7,52.9,1.9812734082397003
Brooklyn South,BKS07,2019,August,20,53.1,2.6550000000000002
Brooklyn South,BKS10,2019,August,22.3,59.9,2.68609865470852
Brooklyn South,BKS11,2019,August,18.5,49.5,2.675675675675676
Brooklyn South,BKS12,2019,August,15.7,45.1,2.872611464968153
Brooklyn South,BKS13,2019,August,14.5,43.5,3
Brooklyn South,BKS14,2019,August,14.2,39.1,2.7535211267605635
Brooklyn South,BKS15,2019,August,19.2,51.1,2.6614583333333335
Brooklyn South,BKS18,2019,August,14.4,41.8,2.9027777777777777
Bronx,BX01,2019,August,6.8,21.4,3.1470588235294117
Bronx,BX02,2019,August,12.9,41.1,3.186046511627907
Bronx,BX03,2019,August,9.1,29.1,3.197802197802198
Bronx,BX04,2019,August,11.8,36.9,3.1271186440677963
Bronx,BX05,2019,August,11,35.1,3.190909090909091
Bronx,BX06,2019,August,12.4,39,3.1451612903225805
Bronx,BX07,2019,August,14.3,45.6,3.1888111888111887
Bronx,BX08,2019,August,21,53.3,2.538095238095238
Bronx,BX09,2019,August,9.7,29.5,3.041237113402062
Bronx,BX10,2019,August,21.1,52.5,2.4881516587677726
Bronx,BX11,2019,August,17.1,42.4,2.47953216374269
Bronx,BX12,2019,August,21.2,49,2.311320754716981
Manhattan,MN01,2019,August,25.7,48.7,1.8949416342412453
Manhattan,MN02,2019,August,24.5,47.6,1.9428571428571428
Manhattan,MN03,2019,August,13,39.8,3.0615384615384613
Manhattan,MN04,2019,August,22.4,42.2,1.8839285714285716
Manhattan,MN05,2019,August,19.1,37.1,1.9424083769633507
Manhattan,MN06,2019,August,22.1,41.6,1.8823529411764706
Manhattan,MN07,2019,August,25.8,49.3,1.9108527131782944
Manhattan,MN08,2019,August,25.5,49,1.9215686274509804
Manhattan,MN09,2019,August,17.1,53.4,3.122807017543859
Manhattan,MN10,2019,August,13.9,43.6,3.1366906474820144
Manhattan,MN11,2019,August,11.6,37,3.189655172413793
Manhattan,MN12,2019,August,15.4,47.7,3.0974025974025974
Queens East,QE07,2019,August,19.7,51,2.5888324873096447
Queens East,QE08,2019,August,16.5,33.5,2.0303030303030303
Queens East,QE10,2019,August,18.3,49.7,2.7158469945355193
Queens East,QE11,2019,August,23.8,61.4,2.579831932773109
Queens East,QE12,2019,August,13.3,43.7,3.2857142857142856
Queens East,QE13,2019,August,22.7,49.6,2.185022026431718
Queens East,QE14,2019,August,14.1,35.4,2.5106382978723403
Queens West,QW01,2019,August,19.7,57.4,2.9137055837563453
Queens West,QW02,2019,August,21.3,56.8,2.6666666666666665
Queens West,QW03,2019,August,14,40.7,2.9071428571428575
Queens West,QW04,2019,August,14.8,43.1,2.9121621621621623
Queens West,QW05,2019,August,22.8,59.4,2.6052631578947367
Queens West,QW06,2019,August,20.3,39.5,1.9458128078817734
Queens West,QW09,2019,August,21.2,52,2.452830188679245
Staten Island,SI01,2019,August,19.8,49.6,2.505050505050505
Staten Island,SI02,2019,August,17.9,51.5,2.8770949720670393
Staten Island,SI03,2019,August,19.3,56.3,2.9170984455958546
